Home Type,Address,City,State,Zip,Listing Price,Baths,Beds,SQFT,Year Built,Airbnb Cash on Cash
Single Family Residential,716 West Vine Street,Champaign,IL,61820,85000,1,3,1008,,22.7627
Single Family Residential,1507 Waterford Place,Champaign,IL,61821,479900,5,4,4067,1999,0.343841
Single Family Residential,1019 West Charles Street,Champaign,IL,61821,399900,3,4,3277,1928,0.904749
Single Family Residential,511 West Park Avenue,Champaign,IL,61820,224900,2,3,2379,1878,7.22833
Single Family Residential,3618 Freedom Boulevard,Champaign,IL,61822,321500,3,4,2210,2017,1.61765
Single Family Residential,616 Lauterbur Lane,Champaign,IL,61822,144888,2,3,1442,2007,12.4129
Single Family Residential,3207 West William Street,Champaign,IL,61821,125000,2,4,1719,1975,7.75471
Single Family Residential,2508 Stanford Drive,Champaign,IL,61822,192900,2,3,1665,1967,8.79405
Condo/Coop,2404 Windward Boulevard #203,Champaign,IL,61821,124900,2,3,1370,2000,12.9692
Single Family Residential,3104 Summithill Place,Champaign,IL,61822,499900,5,4,3250,2003,0.281675
Single Family Residential,1001 West Daniel Street,Champaign,IL,61821,229900,2,3,2593,,7.02306
Single Family Residential,714 South New Street,Champaign,IL,61820,245000,2,3,1792,1938,6.454
Single Family Residential,1821 Moraine Drive,Champaign,IL,61822,369900,3,4,2822,1991,1.11141
Condo/Coop,2311 Galen Drive #6,Champaign,IL,61821,95000,2,2,988,1977,5.41024
Single Family Residential,4408 Crossgate Drive,Champaign,IL,61822,259900,3,4,2745,1998,2.5364
Single Family Residential,1116 West WILLIAM Street,Champaign,IL,61821,272000,2,4,1940,1928,2.36937
Condo/Coop,2821 Natalie Drive #0,Champaign,IL,61822,116000,2,3,1420,1990,14.8579
Single Family Residential,1702 Arden Court,Champaign,IL,61821,112500,1,3,955,1976,16.6583
Single Family Residential,2603 Sangamon Drive,Champaign,IL,61821,118900,1,3,1421,1965,15.6427
Single Family Residential,1307 Mayfair Road,Champaign,IL,61821,159900,2,3,1596,1950,11.0651
Single Family Residential,7 BELLAMY Court,Champaign,IL,61821,169900,2,3,1502,,10.2837
Single Family Residential,3204 Saratoga Drive,Champaign,IL,61821,99900,1,3,954,1981,19.0381
Single Family Residential,2415 Waterville Drive,Champaign,IL,61822,274900,3,4,2342,2004,2.28468
Single Family Residential,1605 Lincoln Road,Champaign,IL,61821,179900,2,4,1779,1966,4.71378
Condo/Coop,5 East COLUMBIA Avenue #5,Champaign,IL,61820,288000,2,2,1921,2009,-0.0297117
Single Family Residential,2805 Prairie Meadow Drive,Champaign,IL,61822,339900,4,4,2622,1991,1.39573
Condo/Coop,2306 BRIAR HILL Drive #A,Champaign,IL,61822,244900,3,2,2358,1975,0.393197
Single Family Residential,3210 Meridian Drive,Champaign,IL,61822,250000,4,4,2709,1981,2.77235
Single Family Residential,1415 Rose Drive,Champaign,IL,61821,196900,2,3,1356,2016,8.5705
Condo/Coop,301 North Neil Street #713,Champaign,IL,61820,314900,2,2,1550,2007,-0.692302
Single Family Residential,406 Fairview Drive,Champaign,IL,61820,90000,1,2,1050,1947,7.10026
Single Family Residential,603 Hessel Boulevard,Champaign,IL,61820,175000,2,3,1974,1951,9.9196
Single Family Residential,3204 Sharp Drive,Champaign,IL,61822,188500,2,3,1824,2011,9.02968
Single Family Residential,713 Arlington Court,Champaign,IL,61820,135000,1,2,1148,1923,3.99684
Single Family Residential,909 West White Street,Champaign,IL,61821,199900,2,2,1365,1947,1.98171
Single Family Residential,1310 West Ridge Lane,Champaign,IL,61822,234900,4,3,1780,2008,6.76693
Single Family Residential,404 South Edwin Street,Champaign,IL,61821,150000,,3,,1947,11.9412
Single Family Residential,3203 Sharon Drive,Champaign,IL,61822,161900,,3,1449,1994,10.793
Single Family Residential,4907 Peifer Lane,Champaign,IL,61822,459900,0,4,3272,2007,0.476645
Condo/Coop,301 North Neil Street #908,Champaign,IL,61820,380000,0,2,1695,2009,-1.09757
Single Family Residential,311 South Willis Avenue,Champaign,IL,61821,192500,0,3,1721,1941,8.81691
Single Family Residential,3401 Lakeshore Drive,Champaign,IL,61822,315000,0,4,2372,,1.68076
Single Family Residential,814 West Maple Street,Champaign,IL,61820,117000,0,2,968,1930,4.95174
Single Family Residential,2512 Southmoor Drive,Champaign,IL,61821,179500,0,3,1691,1970,9.61552
Condo/Coop,107 North Elm Street #107,Champaign,IL,61820,184900,0,2,1382,1976,0.303375
Single Family Residential,2909 Clayton Boulevard,Champaign,IL,61822,131500,0,3,1520,1979,13.9321
Condo/Coop,301 North Neil Street #709,Champaign,IL,61820,389900,0,2,1843,2009,-1.12582
Single Family Residential,705 Corey Lane,Champaign,IL,61822,129900,0,2,1197,2005,4.20973
Single Family Residential,1511 West UNIVERSITY Avenue,Champaign,IL,61821,199900,0,3,1570,,8.40871
Single Family Residential,2305 SOUTHWOOD Drive,Champaign,IL,61821,105000,0,3,1070,1970,18.006
Single Family Residential,1108 Hollycrest Drive,Champaign,IL,61821,155000,0,4,1824,1956,5.82605
Single Family Residential,2007 STRAND Drive,Champaign,IL,61822,304900,0,4,2460,2002,1.82604
Single Family Residential,2711 Judith Drive,Champaign,IL,61821,107500,0,3,940,1966,17.5359
Townhouse,734 Sedgegrass Drive,Champaign,IL,61822,185000,0,3,1740,2008,9.19368
Single Family Residential,2807 Willow Bend Road,Champaign,IL,61822,249900,0,4,2206,1995,2.73433
Single Family Residential,1516 Gates Place,Champaign,IL,61820,110000,0,3,2604,1968,17.0871
Single Family Residential,1804 Oak Park Drive,Champaign,IL,61822,229000,0,4,2160,1997,3.22925
Single Family Residential,2308 Sumac Court North,Champaign,IL,61821,149900,0,3,1374,1984,11.9506
Single Family Residential,4 Flora Court,Champaign,IL,61821,182500,0,4,1996,1946,4.61514
Single Family Residential,3105 Nobel Drive,Champaign,IL,61822,159900,0,3,1691,2005,11.04
Townhouse,3732 Summer Sage Court,Champaign,IL,61822,129900,0,2,1416,2005,4.13275
Single Family Residential,720 Southwest Drive,Champaign,IL,61820,135000,0,3,1661,1954,13.5136
Single Family Residential,3001 Stoneybrook Drive,Champaign,IL,61822,183000,0,3,1834,1977,9.36202
Single Family Residential,1703 Eagle Road,Champaign,IL,61822,304900,0,4,1978,2017,1.82604
Single Family Residential,911 West William Street,Champaign,IL,61821,132900,0,2,988,1929,4.09491
Condo/Coop,3774 Thornhill Circle #A5,Champaign,IL,61822,115000,0,2,1579,,3.2502
Single Family Residential,605 West Union Street,Champaign,IL,61820,200000,0,3,2034,1985,8.4034
Condo/Coop,2402 Windward Boulevard #103,Champaign,IL,61821,127500,0,2,1193,1999,2.90312
Condo/Coop,2110 Harbortown Circle #2110,Champaign,IL,61822,115000,0,2,1017,1983,3.61542
Single Family Residential,822 Chickory Drive,Champaign,IL,61822,234000,0,3,2105,2007,6.80146
Single Family Residential,2006 Wiggins Street,Champaign,IL,61822,339900,0,4,2538,2006,1.45457
